orf_id	cazyme_class	cazyme_family	class_name	evalue	coverage	substrate_predicted
contig_5_cazyme_GH_GH1_1	GH	GH1	Glycoside Hydrolases	6.21e-06	0.77	beta-glucan
contig_5_cazyme_GH_GH1_2	GH	GH1	Glycoside Hydrolases	9.71e-07	0.97	mannan
contig_2_cazyme_GH_GH1_3	GH	GH1	Glycoside Hydrolases	8.20e-06	0.95	cellulose
contig_5_cazyme_GH_GH18_1	GH	GH18	Glycoside Hydrolases	4.79e-06	0.9	starch
contig_4_cazyme_GH_GH13_1	GH	GH13	Glycoside Hydrolases	6.17e-06	0.9	pectin
contig_6_cazyme_GH_GH13_2	GH	GH13	Glycoside Hydrolases	4.18e-06	0.98	beta-glucan
contig_5_cazyme_GH_GH4_1	GH	GH4	Glycoside Hydrolases	5.75e-06	0.85	starch
contig_5_cazyme_GH_GH4_2	GH	GH4	Glycoside Hydrolases	6.54e-07	0.78	cellulose
contig_1_cazyme_GH_GH4_3	GH	GH4	Glycoside Hydrolases	2.62e-06	0.85	starch
contig_5_cazyme_GH_GH73_1	GH	GH73	Glycoside Hydrolases	8.67e-06	0.98	beta-glucan
contig_2_cazyme_GH_GH46_1	GH	GH46	Glycoside Hydrolases	7.08e-06	0.86	pectin
contig_3_cazyme_GH_GH32_1	GH	GH32	Glycoside Hydrolases	5.00e-06	0.88	beta-glucan
contig_4_cazyme_GT_GT8_1	GT	GT8	Glycosyl Transferases	1.33e-06	0.79	xylan
contig_2_cazyme_GT_GT8_2	GT	GT8	Glycosyl Transferases	8.96e-06	0.76	chitin
contig_3_cazyme_GT_GT8_3	GT	GT8	Glycosyl Transferases	6.66e-07	0.84	chitin
contig_4_cazyme_GT_GT5_1	GT	GT5	Glycosyl Transferases	2.64e-06	0.93	chitin
contig_3_cazyme_GT_GT51_1	GT	GT51	Glycosyl Transferases	4.03e-06	0.85	mannan
contig_2_cazyme_GT_GT51_2	GT	GT51	Glycosyl Transferases	7.69e-07	0.76	cellulose
contig_6_cazyme_PL_PL11_1	PL	PL11	Polysaccharide Lyases	1.52e-06	0.91	pectin
