orf_id	aa_A	aa_C	aa_D	aa_E	aa_F	aa_G	aa_H	aa_I	aa_K	aa_L	aa_M	aa_N	aa_P	aa_Q	aa_R	aa_S	aa_T	aa_V	aa_W	aa_Y	grp_tiny	grp_small	grp_aliphatic	grp_aromatic	grp_polar	grp_nonpolar	grp_charged	grp_turnforming	phys_mw	phys_charge	phys_hydrophobicity	phys_hydro_ratio	phys_amphipathic	phys_boman	phys_ww	phys_aliphatic_idx	phys_gravy	phys_pi	phys_aromaticity	phys_disorder	dp_LL	dp_KK	dp_KL	dp_LK	dp_AA	dp_GG	dp_RR	dp_VV
contig_5_s-_f0_orf80	0.054878	0.012195	0.091463	0.060976	0.054878	0.042683	0.079268	0.04878	0.079268	0.097561	0.079268	0.012195	0.018293	0.012195	0.04878	0.006098	0.030488	0.109756	0.04878	0.012195	0.103659	0.378049	0.310976	0.115854	0.432927	0.554878	0.359756	0.170732	19693.1	9	0.0843	0.4939	0.1744	-0.4559	0.2239	94.39	-0.0488	7.27	0.1159	0.2744	0.0	0.0	0.006135	0.006135	0.0	0.0	0.006135	0.006135
contig_1_s-_f1_orf46	0.055556	0.055556	0.083333	0.027778	0.083333	0.0	0.027778	0.027778	0.055556	0.138889	0.083333	0.027778	0.0	0.0	0.083333	0.055556	0.0	0.138889	0.055556	0.0	0.111111	0.416667	0.361111	0.138889	0.416667	0.583333	0.277778	0.166667	4373.1	2	0.1511	0.5833	0.3534	-0.6531	0.0567	110.83	0.6056	7.28	0.1389	0.1944	0.028571	0.0	0.0	0.0	0.0	0.0	0.0	0.028571
contig_1_s+_f2_orf10	0.057471	0.045977	0.034483	0.045977	0.063218	0.034483	0.074713	0.057471	0.086207	0.074713	0.097701	0.005747	0.022989	0.022989	0.091954	0.011494	0.011494	0.091954	0.051724	0.017241	0.103448	0.316092	0.281609	0.132184	0.431034	0.551724	0.333333	0.109195	21417.9	30	0.0267	0.4943	0.2894	-0.5017	0.1582	83.97	0.0017	7.86	0.1322	0.2816	0.011561	0.0	0.0	0.00578	0.00578	0.0	0.011561	0.00578
contig_6_s-_f0_orf83	0.101695	0.067797	0.033898	0.050847	0.050847	0.050847	0.067797	0.050847	0.033898	0.067797	0.067797	0.033898	0.0	0.0	0.135593	0.016949	0.0	0.067797	0.084746	0.016949	0.169492	0.372881	0.288136	0.152542	0.440678	0.542373	0.322034	0.135593	7264.2	9	-0.0193	0.4915	0.229	-0.4305	0.1086	76.1	-0.1119	7.76	0.1525	0.2542	0.0	0.0	0.0	0.0	0.0	0.0	0.017241	0.017241
contig_3_s+_f0_orf4	0.05618	0.022472	0.067416	0.033708	0.05618	0.044944	0.067416	0.089888	0.101124	0.067416	0.05618	0.022472	0.0	0.0	0.11236	0.011236	0.0	0.078652	0.089888	0.022472	0.11236	0.303371	0.292135	0.168539	0.438202	0.539326	0.382022	0.146067	11224.8	16	-0.0433	0.4944	0.1829	-0.4751	0.1092	89.78	-0.273	7.9	0.1685	0.2472	0.0	0.0	0.022727	0.034091	0.011364	0.0	0.022727	0.0
contig_1_s-_f1_orf72	0.025641	0.025641	0.089744	0.076923	0.141026	0.012821	0.089744	0.025641	0.051282	0.089744	0.051282	0.0	0.051282	0.012821	0.089744	0.012821	0.012821	0.076923	0.051282	0.012821	0.051282	0.307692	0.217949	0.205128	0.461538	0.525641	0.397436	0.166667	9939.1	5	0.0033	0.4615	0.0954	-0.4476	0.1891	69.87	-0.3064	7.32	0.2051	0.2436	0.025974	0.0	0.0	0.0	0.0	0.0	0.012987	0.0
contig_1_s-_f2_orf78	0.058824	0.029412	0.014706	0.073529	0.058824	0.0	0.102941	0.088235	0.058824	0.102941	0.073529	0.0	0.014706	0.0	0.058824	0.044118	0.014706	0.117647	0.073529	0.014706	0.102941	0.294118	0.367647	0.147059	0.397059	0.588235	0.308824	0.073529	8428.9	9	0.2306	0.5735	0.397	-0.7088	0.0928	114.56	0.4794	7.66	0.1471	0.25	0.014925	0.0	0.0	0.0	0.0	0.0	0.0	0.029851
contig_4_s-_f1_orf68	0.022989	0.022989	0.126437	0.045977	0.034483	0.011494	0.126437	0.126437	0.045977	0.068966	0.057471	0.022989	0.022989	0.011494	0.091954	0.0	0.022989	0.022989	0.103448	0.011494	0.034483	0.275862	0.241379	0.149425	0.517241	0.471264	0.436782	0.183908	11287.5	8	-0.0626	0.4368	0.4611	-0.4102	0.1986	85.17	-0.6552	7.46	0.1494	0.1609	0.023256	0.0	0.0	0.0	0.0	0.0	0.023256	0.0
contig_6_s+_f1_orf45	0.069182	0.012579	0.050314	0.037736	0.069182	0.018868	0.075472	0.062893	0.081761	0.081761	0.08805	0.018868	0.006289	0.025157	0.056604	0.006289	0.062893	0.062893	0.075472	0.031447	0.09434	0.308176	0.27673	0.176101	0.427673	0.534591	0.301887	0.100629	19821.5	20	0.0961	0.5094	0.0808	-0.5387	0.0588	81.57	-0.078	7.63	0.1761	0.2453	0.006329	0.0	0.012658	0.0	0.0	0.0	0.006329	0.0
contig_4_s+_f0_orf44	0.079755	0.01227	0.06135	0.104294	0.09816	0.018405	0.055215	0.030675	0.141104	0.067485	0.08589	0.018405	0.0	0.01227	0.08589	0.006135	0.006135	0.06135	0.042945	0.01227	0.104294	0.263804	0.239264	0.153374	0.503067	0.484663	0.447853	0.104294	20443.2	19	-0.1579	0.4663	0.2005	-0.2561	0.3169	64.05	-0.6074	7.58	0.1534	0.362	0.012346	0.012346	0.018519	0.024691	0.0	0.0	0.006173	0.006173
